ts_unix,ts_iso,raw_ir,raw_red,ac_ir,ac_red,md_ir,md_red,lp_ir,lp_red
1759153099.372501,2025-09-29T16:38:19.372,4096.0,54272.0,-7947.6875,31681.15625,313.476074,-28309.583984,5003.0,0.0
1759153099.372501,2025-09-29T16:38:19.372,3072.0,55296.0,-8574.296875,31121.09375,-2091.536133,-24299.964844,2113.0,0.0
1759153099.372501,2025-09-29T16:38:19.372,4096.0,52224.0,-7121.59375,26493.0,-2739.214844,-16545.197266,0.0,0.0
1759153099.372501,2025-09-29T16:38:19.372,4096.0,52224.0,-6765.515625,25168.375,-2329.185547,-12577.694336,0.0,0.0
1759153099.372501,2025-09-29T16:38:19.372,4096.0,52224.0,-6427.234375,23909.9375,-5489.532227,-8468.526367,0.0,0.0
1759153099.372501,2025-09-29T16:38:19.372,7168.0,47104.0,-3033.875,17594.4375,-7809.1875,215.166016,0.0,0.0
1759153099.372501,2025-09-29T16:38:19.372,0.0,6144.0,-10050.171875,-24245.25,-250.737305,41573.976562,0.0,5222.0
1759153099.372501,2025-09-29T16:38:19.372,51200.0,6144.0,41652.328125,-23033.0,-48024.859375,39904.886719,0.0,22642.0
1759153099.372501,2025-09-29T16:38:19.372,51200.0,6144.0,39569.71875,-21881.375,-42210.289062,38306.46875,0.0,30717.0
1759153099.372501,2025-09-29T16:38:19.372,51200.0,6144.0,37591.21875,-20787.28125,-36686.429688,36800.71875,0.0,34070.0
1759153099.372501,2025-09-29T16:38:19.372,51200.0,5120.0,35711.65625,-20771.90625,-31438.773438,33049.207031,0.0,34489.0
1759153099.372501,2025-09-29T16:38:19.372,3072.0,52224.0,-14201.90625,27370.6875,18465.945312,-15502.452148,0.0,21876.0
1759153099.372501,2025-09-29T16:38:19.372,3072.0,3072.0,-13491.8125,-23149.84375,17474.384766,31011.335938,0.0,14949.0
1759153099.372501,2025-09-29T16:38:19.372,52224.0,3072.0,36334.78125,-21992.34375,-29342.804688,26047.429688,0.0,21610.0
1759153099.372501,2025-09-29T16:38:19.372,3072.0,52224.0,-14633.96875,28259.25,21208.080078,-24543.453125,0.0,11379.0
1759153099.372501,2025-09-29T16:38:19.372,3072.0,49152.0,-13902.28125,23774.3125,20079.419922,-20585.636719,8131.0,0.0
1759153099.372501,2025-09-29T16:38:19.372,0.0,49152.0,-16279.15625,22585.5625,21942.636719,-19965.921875,14448.0,0.0
1759153099.372501,2025-09-29T16:38:19.372,0.0,0.0,-15465.1875,-27695.6875,20572.429688,26702.748047,17788.0,0.0
1759153099.372501,2025-09-29T16:38:19.372,0.0,0.0,-14691.9375,-26310.90625,19270.75,21886.015625,18834.0,9478.0
1759153099.372501,2025-09-29T16:38:19.372,0.0,52224.0,-13957.34375,27228.65625,18034.150391,-31432.300781,18745.0,2488.0
1759153099.372501,2025-09-29T16:38:19.372,6144.0,55296.0,-7115.46875,28939.1875,10920.168945,-32386.515625,16651.0,0.0
